configuration	scale	files	lines	runs	mean_ms	sd_ms	min_ms
mensharp	0	1	12	25	46.8	6.3	38.8
mensharp_check	0	1	12	25	27.6	2.3	22.7
roslyn_warm	0	1	12	25	74.3	10.4	62.0
roslyn_cold	0	1	12	25	434.0	26.4	407.3
mensharp	1	22	1298	25	51.9	7.0	39.5
mensharp_check	1	22	1298	25	33.5	2.4	29.3
roslyn_warm	1	22	1298	25	86.1	11.7	73.0
roslyn_cold	1	22	1298	25	596.9	38.4	542.6
mensharp	2	44	2596	25	54.2	8.7	37.5
mensharp_check	2	44	2596	25	34.4	2.2	30.5
roslyn_warm	2	44	2596	25	93.4	9.9	79.8
roslyn_cold	2	44	2596	25	629.7	44.0	565.1
mensharp	4	88	5192	25	59.0	8.3	49.7
mensharp_check	4	88	5192	25	38.4	3.0	31.1
roslyn_warm	4	88	5192	25	104.0	8.7	94.9
roslyn_cold	4	88	5192	25	634.9	32.4	580.9
mensharp	8	176	10384	25	70.6	8.4	58.5
mensharp_check	8	176	10384	25	44.2	2.8	37.5
roslyn_warm	8	176	10384	25	135.9	19.2	115.2
roslyn_cold	8	176	10384	25	707.6	34.3	632.3
mensharp	16	352	20768	25	85.2	7.4	75.0
mensharp_check	16	352	20768	25	55.6	4.2	48.2
roslyn_warm	16	352	20768	25	187.6	16.3	161.7
roslyn_cold	16	352	20768	25	742.9	42.6	689.7
mensharp	32	704	41536	25	123.7	7.0	115.4
mensharp_check	32	704	41536	25	76.9	4.7	69.0
roslyn_warm	32	704	41536	25	290.9	23.0	256.2
roslyn_cold	32	704	41536	25	905.1	47.8	833.3
